LSOA_Code,LSOA_Name
E01000914,Camden 028B
E01000915,Camden 027A
E01000916,Camden 027B
E01000917,Camden 027C
E01000918,Camden 028C
E01000919,Camden 028D
E01000920,Camden 027D
E01000921,Camden 003C
E01000922,Camden 007E
E01000923,Camden 003D
E01000924,Camden 009C
E01000925,Camden 009D
E01000926,Camden 009E
E01000927,Camden 007F
E01000928,Camden 003E
E01000929,Camden 020A
E01000930,Camden 020B
E01000931,Camden 013C
E01000932,Camden 013D
E01000933,Camden 020C
E01000934,Camden 020D
E01000935,Camden 020E
E01000936,Camden 024A
E01000937,Camden 025B
E01000938,Camden 024B
E01000939,Camden 024C
E01000940,Camden 024D
E01000941,Camden 025C
E01000942,Camden 025D
E01000943,Camden 025E
E01000944,Camden 023A
E01000945,Camden 023B
E01000946,Camden 021B
E01000947,Camden 021C
E01000948,Camden 021D
E01000949,Camden 023C
E01000950,Camden 023D
E01000951,Camden 023E
E01000952,Camden 022A
E01000953,Camden 022B
E01000954,Camden 022C
E01000955,Camden 022D
E01000956,Camden 022E
E01000957,Camden 019C
E01000958,Camden 019D
E01000959,Camden 019E
E01000960,Camden 017A
E01000961,Camden 017B
E01000962,Camden 016A
E01000963,Camden 017C
E01000964,Camden 016B
E01000965,Camden 016C
E01000966,Camden 016D
E01000967,Camden 017D
E01000968,Camden 016E
E01000969,Camden 010A
E01000970,Camden 010B
E01000971,Camden 010C
E01000972,Camden 010D
E01000973,Camden 010E
E01000974,Camden 013E
E01000975,Croydon 022A
E01000976,Croydon 022B
E01000977,Croydon 022C
E01000978,Croydon 022D
E01000979,Croydon 022E
E01000980,Croydon 017A
E01000981,Croydon 017B
E01000982,Croydon 017C
E01000983,Croydon 017D
E01000984,Croydon 022F
E01000985,Croydon 021A
E01000986,Croydon 021B
E01000987,Croydon 021C
E01000989,Croydon 018A
E01000990,Croydon 045A
E01000991,Croydon 018B
E01000992,Croydon 014A
E01000993,Croydon 021D
E01000994,Croydon 009A
E01000995,Croydon 009B
E01000996,Croydon 009C
E01000997,Croydon 009D
E01000998,Croydon 010A
E01000999,Croydon 009E
E01001000,Croydon 010B
E01001001,Croydon 013A
E01001002,Croydon 009F
E01001003,Croydon 010C
E01001004,Croydon 015A
E01001005,Croydon 019A
E01001006,Croydon 016A
E01001007,Croydon 016B
E01001008,Croydon 019B
E01001009,Croydon 019C
E01001010,Croydon 019D
E01001011,Croydon 019E
E01001012,Croydon 020A
E01001013,Croydon 020B
E01001014,Croydon 024A
E01001015,Croydon 041A
E01001016,Croydon 041B
E01001017,Croydon 043A
E01001018,Croydon 044A
E01001019,Croydon 044B
E01001020,Croydon 044C
E01001021,Croydon 044D
